,Fetch_Time,Symbol,Expiry_Date,CALLS_OI,CALLS_Chng_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net_Chng,CALLS_Bid_Qty,CALLS_Bid_Price,CALLS_Ask_Price,CALLS_Ask_Qty,Strike_Price,PUTS_Bid_Qty,PUTS_Bid_Price,PUTS_Ask_Price,PUTS_Ask_Qty,PUTS_Net_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng_in_OI,PUTS_OI
31,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,1318,0,0,0,0.0,0.0,1800,1372.5,1423.7,1800,23200,75825,1.15,1.2,58675,-0.8,1.2,26.22,179381,14798,48731
32,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,165,1,41,0,1338.1,95.69999999999982,50,1325.9,1373.65,50,23250,35350,1.2,1.25,12450,-0.8500000000000001,1.25,25.59,23289,409,11111
33,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,1522,1,6,0,1297.4,78.20000000000005,150,1296.6,1300.3,300,23300,38700,1.3,1.35,24800,-0.9999999999999998,1.3,24.73,116067,-11606,55493
34,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,40,0,0,0,0.0,0.0,1800,1222.8,1273.7,1800,23350,4050,1.4,1.45,11225,-0.9000000000000001,1.45,24.27,43734,7647,23316
35,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,1257,-62,74,0,1191.6,70.5,150,1197.05,1200.45,150,23400,64675,1.35,1.4,61000,-1.15,1.4,23.3,139481,-3679,50095
36,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,134,-1,3,0,1108.2,39.049999999999955,25,1123.1,1173.65,475,23450,28150,1.4,1.45,14525,-1.2,1.45,22.52,44207,-740,17186
37,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,5431,-703,1009,0,1097.3,77.69999999999993,100,1097.1,1100.15,150,23500,68625,1.5,1.55,79475,-1.2499999999999998,1.55,21.73,399657,11486,182493
38,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,149,0,0,0,0.0,0.0,1800,1023.3,1073.8,1800,23550,5175,1.55,1.6,12475,-1.55,1.55,20.93,92110,-6656,33158
39,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,1430,-51,252,0,997.75,75.39999999999998,100,997.35,1000.7,150,23600,22150,1.65,1.7,31750,-1.65,1.65,20.27,200330,11108,90034
40,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,345,0,41,0,946.3,76.29999999999995,75,948.75,952.65,25,23650,10725,1.7,1.75,5925,-2.0,1.75,19.44,65960,6857,28548
41,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,3019,-87,220,0,899.05,71.04999999999995,25,898.15,900.9,50,23700,31725,1.85,1.9,16725,-2.4499999999999997,1.9,18.73,325117,-7779,112934
42,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,220,-4,16,20.76,857.05,82.44999999999993,50,848.2,851.4,50,23750,17950,2.05,2.1,5675,-3.05,2.05,18.11,174750,-3936,52069
43,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,4009,-59,609,0,801.75,78.85000000000002,150,799.05,801.55,25,23800,18925,2.4,2.45,20100,-3.25,2.45,17.6,369589,37515,123384
44,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,397,-18,66,0,741.15,68.94999999999993,25,749.45,753.05,75,23850,12475,2.95,3.0,11850,-3.6500000000000004,3.0,17.14,291710,40613,71600
45,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,3548,-254,804,17.51,703.15,72.94999999999993,100,699.8,703.7,600,23900,18550,3.4,3.45,18050,-4.65,3.4,16.54,417559,45667,114680
46,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,533,-32,177,0,640.0,62.950000000000045,100,650.75,654.5,25,23950,14900,4.05,4.1,15225,-5.550000000000001,4.1,16.0,245053,7499,33721
47,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,18497,-533,9562,0,603.4,69.69999999999993,100,603.05,604.9,125,24000,14200,5.15,5.2,8625,-6.8500000000000005,5.2,15.67,640922,44560,254018
48,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,1446,-143,2132,14.15,553.55,68.49999999999994,100,553.6,555.75,75,24050,10975,6.2,6.25,9550,-8.55,6.2,15.11,276834,10058,48450
49,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,7203,-900,7240,0,506.25,67.85000000000002,100,505.55,507.3,125,24100,14200,7.85,7.95,9475,-10.700000000000001,7.9,14.7,406297,39386,138475
50,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,2921,-28,2621,13.67,457.0,60.75,100,457.9,459.4,75,24150,5125,10.3,10.35,5500,-13.149999999999999,10.3,14.38,242217,10972,50244
51,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,32129,-5161,42609,11.5,411.7,62.30000000000001,250,412.0,412.75,400,24200,10275,13.4,13.45,2875,-15.75,13.5,14.04,503450,24506,165351
52,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,13721,-1705,16514,11.68,365.45,57.05000000000001,200,365.9,366.65,50,24250,7650,17.5,17.55,25,-18.999999999999996,17.55,13.75,271225,20340,75882
53,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,74684,-81,141873,11.92,322.35,56.30000000000001,450,322.25,322.85,150,24300,5450,22.9,23.0,3375,-22.799999999999997,23.0,13.44,654332,50637,230146
54,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,22899,-1528,69674,11.87,279.15,51.29999999999998,200,278.6,279.15,175,24350,4675,29.6,29.75,4700,-27.8,29.7,13.11,393321,28009,105220
55,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,111060,-2288,299404,11.81,237.05,45.75,675,237.8,238.2,500,24400,1475,38.6,38.7,3000,-32.300000000000004,38.65,12.85,791817,41885,243289
56,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,40691,5060,251696,11.68,199.1,39.900000000000006,200,198.8,199.2,1250,24450,425,49.8,49.9,125,-38.35000000000001,49.8,12.58,490822,37824,88172
57,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,179833,25895,1310312,11.45,162.85,34.29999999999998,25,162.7,162.85,75,24500,2025,63.75,63.9,225,-44.349999999999994,63.75,12.33,1527856,117990,270311
58,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,92014,34389,1282493,11.29,130.2,27.69999999999999,200,130.05,130.25,25,24550,775,81.05,81.25,1275,-50.150000000000006,81.0,12.11,1266012,98400,131499
59,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,215590,98579,2092451,11.1,101.1,21.75,325,100.95,101.15,675,24600,475,101.95,102.1,425,-55.85000000000001,101.95,11.9,1388388,114036,154783
60,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,68814,32790,712392,10.92,76.1,15.699999999999996,275,76.15,76.3,950,24650,275,127.0,127.2,50,-61.2,127.2,11.74,331299,26564,33942
61,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,189826,60511,1043751,10.71,55.2,11.350000000000001,875,55.25,55.4,1325,24700,25,156.5,156.7,225,-65.60000000000002,156.7,11.6,322738,28871,44897
62,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,66197,18564,553483,10.58,39.0,7.300000000000001,4700,38.9,39.05,3025,24750,75,189.7,190.0,250,-68.9,190.4,11.59,72978,5078,8546
63,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,169356,47920,950108,10.49,26.55,4.300000000000001,3100,26.45,26.55,2925,24800,300,227.35,227.7,250,-71.9,227.9,11.7,88905,11639,19525
64,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,93509,22192,549649,10.41,17.55,2.6000000000000014,4075,17.45,17.55,5575,24850,250,268.3,268.9,200,-70.75,270.15,12.09,16275,2550,3883
65,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,200798,52866,782057,10.44,11.35,1.1999999999999993,3925,11.3,11.35,5750,24900,50,312.05,312.95,50,-74.0,314.2,12.42,10316,1390,2496
66,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,75548,35622,457645,10.52,7.4,0.5,350,7.4,7.45,13925,24950,50,357.8,358.95,775,-75.79999999999995,359.1,12.33,1546,103,441
67,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,364078,88609,907727,10.82,5.2,0.25,6450,5.15,5.2,12700,25000,50,405.55,406.55,125,-77.5,406.1,13.7,19222,2675,10008
68,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,83438,19420,328208,10.91,3.3,0.04999999999999982,12250,3.25,3.3,7350,25050,850,452.75,454.9,25,-69.25,462.65,14.49,854,55,305
69,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,136162,29767,407798,11.27,2.4,-0.10000000000000009,42875,2.35,2.4,28150,25100,100,501.75,503.65,25,-75.15000000000003,504.3,14.85,1092,-308,449
70,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,53729,9468,173467,11.53,1.65,-0.10000000000000009,20200,1.6,1.65,19475,25150,75,550.2,554.0,150,-69.25,558.05,16.25,88,4,50
71,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,107207,3867,304630,12,1.3,-0.09999999999999987,226275,1.25,1.3,97350,25200,100,600.25,603.5,100,-83.05000000000007,602.8,14.21,410,45,124
72,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,26926,4155,45244,12.57,1.1,-0.09999999999999987,52900,1.05,1.1,22950,25250,25,649.75,653.45,50,-71.45000000000005,663.75,14.45,15,1,16
73,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,81269,-2715,122521,13.15,0.95,-0.15000000000000013,159750,0.9,0.95,167175,25300,25,700.5,703.35,50,-68.10000000000002,713.35,15.4,150,33,169
74,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,18355,2073,26477,13.66,0.85,-0.15000000000000002,77025,0.8,0.85,45100,25350,75,747.35,753.45,150,-71.75,751.1,29.05,4,1,2
75,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,62239,3533,65593,14.34,0.8,-0.1499999999999999,57775,0.75,0.8,78675,25400,25,798.55,803.3,50,-42.90000000000009,797.55,13.89,12,8,25
76,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,14465,225,21016,15,0.7,-0.15000000000000002,9625,0.7,0.75,40175,25450,25,845.75,855.15,75,0.0,0.0,0.0,0,0,7
77,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,177664,10940,305082,15.49,0.6,-0.25,215150,0.6,0.65,355000,25500,50,898.8,903.15,100,-65.70000000000005,908.55,24.37,162,-9,190
78,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,8430,2127,11439,16.52,0.65,-0.19999999999999996,24375,0.65,0.7,38850,25550,25,945.4,955.6,75,0.0,0.0,0.0,0,0,0
79,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,20471,5573,33319,16.99,0.55,-0.19999999999999996,136150,0.55,0.6,28500,25600,1800,977.35,1028.05,1800,0.0,0.0,0.0,0,0,1
80,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,18465,3352,27695,17.73,0.6,-0.25,32500,0.6,0.65,53175,25650,1800,1027.2,1078.0,1800,0.0,0.0,0.0,0,0,0
